track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams
Party,"Bad Bunny, Rauw Alejandro",2,2022,5,6,3185,4,614555082
Far,SZA,1,2022,12,9,680,0,51641685
On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,2,398,0,78139948
GATï¿½ï¿½,"Maldy, Karol G",2,2022,8,25,3328,13,322336177
Sacrifice,The Weeknd,1,2022,1,7,4440,0,326792833
Is There Someone Else?,The Weeknd,1,2022,1,7,2881,6,391251368
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,1,5,2235,0,349585590
Out of Time,The Weeknd,1,2022,1,7,3711,0,339659802
How Do I Make You Love Me?,The Weeknd,1,2022,1,7,1915,0,119238316
Gasoline,The Weeknd,1,2022,1,7,2297,0,116903579
Less Than Zero,The Weeknd,1,2022,1,7,2800,0,200660871
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,2022,1,7,1420,0,88103848
Best Friends,The Weeknd,1,2022,1,7,1292,0,101114984
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,1178,0,91656026
Dawn FM,The Weeknd,1,2022,1,7,811,0,53933526
Starry Eyes,The Weeknd,1,2022,1,7,1014,0,74601456
Donï¿½ï¿½ï¿½t Break My,The Weeknd,1,2022,1,7,1184,0,63803529
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5,759,3,236940480
A Tale By Quincy,The Weeknd,1,2022,1,7,733,0,41924466
Every Angel is Terrifying,The Weeknd,1,2022,1,7,715,0,37307967
Lï¿½ï¿½ï¿,Stromae,1,2022,1,9,2035,0,108809090
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,7,3517,0,311395144
Phantom Regret by Jim,The Weeknd,1,2022,1,7,768,0,31959571
thought i was playing,"21 Savage, Gunna",2,2022,1,7,807,0,60680939
Miserable Man,David Kushner,1,2022,1,7,788,0,124407432
The Rumbling (TV Size),SiM,1,2022,1,10,254,0,71014967
Blessed-Cursed,ENHYPEN,1,2022,1,10,246,0,77337771
Polaroid Love,ENHYPEN,1,2022,1,10,461,0,211372494
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,7,620,0,54937991
MAMIII,"Karol G, Becky G",2,2022,2,10,6809,28,716591492
Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,2,11,590,5,246376690
Boyfriend,Dove Cameron,1,2022,2,11,3766,0,496311364
The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",2,2022,2,11,1430,0,146789379
Light Switch,Charlie Puth,1,2022,1,19,4049,0,500340342
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2022,2,11,2096,0,107255472
Brividi,"Mahmood, Blanco",2,2022,2,2,1175,0,135079152
she's all i wanna be,Tate McRae,1,2022,2,4,2711,0,343197054
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",7,2022,1,14,1034,1,245400167
Numb Little Bug,Em Beihold,1,2022,1,28,2026,0,258714692
212,"Mainstreet, Chefin",2,2022,1,15,352,0,143139338
Bussin,"Nicki Minaj, Lil Baby",2,2022,2,11,847,0,64714573
Worst Day,Future,1,2022,2,11,910,0,50746620
Malvada,Zï¿½ï¿½ Fe,1,2022,1,28,601,0,154119539
Mal Feito - Ao Vivo,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",2,2022,1,14,971,2,291709698
Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,2,4,1064,0,81350745
Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,2,4,1040,0,64787943
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,2022,3,11,3501,0,299634472
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,2022,3,4,6111,4,756907987
Una Noche en Medellï¿½,Cris Mj,1,2022,1,21,5415,32,682475162
Starlight,Dave,1,2022,3,3,1856,3,229473310
Hati-Hati di Jalan,Tulus,1,2022,3,3,200,2,202677468
"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,1,2022,2,4,1888,0,121913181
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",2,2022,2,1,911,2,208166039
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3,461,0,94616487
Nail Tech,Jack Harlow,1,2022,2,18,2939,0,193443895
Chale,Eden Muï¿½ï,1,2022,2,18,695,11,299648208
DARARI,Treasure,1,2022,2,15,328,0,182978249
Ya No Somos Ni Seremos,Christian Nodal,1,2022,2,18,866,16,319757142
Freaky Deaky,"Tyga, Doja Cat",2,2022,2,25,1729,0,153240879
O.O,NMIXX,1,2022,2,22,290,0,135444283
First Class,Jack Harlow,1,2022,4,8,8737,0,694525298
Plan A,Paulo Londra,1,2022,3,23,1105,0,240661097
Fuera del mercado,Danny Ocean,1,2022,2,17,2499,21,421365166
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2,2022,3,25,2697,1,349746291
When You're Gone,Shawn Mendes,1,2022,3,31,2092,0,255120451
In My Head,Lil Tjay,1,2022,4,1,1185,0,190981339
LOVE DIVE,IVE,1,2022,4,5,753,8,305771063
Pantysito,"Feid, Alejo, Robi",3,2022,3,18,2995,0,273005485
Chance,Paulo Londra,1,2022,4,6,225,0,89566512
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,4,7,918,0,75476209
Vampiro,"Matuï¿½ï¿½, Wiu, ",3,2022,1,30,540,4,187772591
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022,3,31,859,0,178512385
Right On,Lil Baby,1,2022,4,8,1116,0,101780047
Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",3,2022,3,30,273,2,118381354
That's Hilarious,Charlie Puth,1,2022,4,8,686,2,146363130
Soy El Unico,Yahritza Y Su Esencia,1,2022,3,25,226,0,126443991
RUMBATï¿½,Daddy Yankee,1,2022,3,25,1264,0,157990698
sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,17,870,0,176290831
Fim de Semana no Rio,teto,1,2022,3,30,315,2,139193812
MANIAC,Stray Kids,1,2022,3,18,651,0,212234990
IDGAF (with blackbear),"Blackbear, BoyWithUke",2,2022,3,18,625,0,197643795
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",6,2022,2,25,918,0,120847157
Still Life,BIGBANG,1,2022,4,5,181,0,53909146
N95,Kendrick Lamar,1,2022,5,13,5542,0,301242089
About Damn Time,Lizzo,1,2022,4,14,9021,0,723894473
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,2022,5,13,4627,0,237351106
Despuï¿½ï¿½s de la P,Bad Bunny,1,2022,5,6,2229,0,461558540
Un Ratito,Bad Bunny,1,2022,5,6,1112,6,417230415
United In Grief,Kendrick Lamar,1,2022,5,13,2575,0,156898322
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,2022,5,13,3107,0,127309180
Yo No Soy Celoso,Bad Bunny,1,2022,5,6,1179,0,313113297
Rich Spirit,Kendrick Lamar,1,2022,5,13,3486,0,173702135
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",2,2022,5,12,2942,0,271666301
Me Fui de Vacaciones,Bad Bunny,1,2022,5,6,1443,0,305650299
Silent Hill,"Kendrick Lamar, Kodak Black",2,2022,5,13,3028,0,123216717
La Corriente,"Tony Dize, Bad Bunny",2,2022,5,6,1796,8,479655659
Count Me Out,Kendrick Lamar,1,2022,5,13,2729,0,126191104
Andrea,"Buscabulla, Bad Bunny",2,2022,5,6,1195,0,344055883
Dos Mil 16,Bad Bunny,1,2022,5,6,892,3,338422004
We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,5,13,1635,0,68895644
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022,5,13,2291,0,86176890
Un Coco,Bad Bunny,1,2022,5,6,1029,28,403231558
Otro Atardecer,"Bad Bunny, The Marï¿½ï",2,2022,5,6,1681,7,319546754
Worldwide Steppers,Kendrick Lamar,1,2022,5,13,1480,0,61739839
Aguacero,Bad Bunny,1,2022,5,6,829,0,283359161
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,5,13,2308,0,76831876
Un Verano Sin Ti,Bad Bunny,1,2022,5,6,1004,1,283332261
ULTRA SOLO,"Polima WestCoast, Pailita",2,2022,2,14,1367,0,307752576
Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,1,2022,5,6,1112,3,279737940
El Apagï¿½,Bad Bunny,1,2022,5,6,1209,0,212351890
Dua Lipa,Jack Harlow,1,2022,5,6,1992,0,150500965
Agosto,Bad Bunny,1,2022,5,6,897,0,246127838
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,5,13,1860,0,58687425
That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,2022,4,29,802,0,212109195
In The Stars,Benson Boone,1,2022,4,29,2224,8,382199619
Rich - Interlude,Kendrick Lamar,1,2022,5,13,1103,0,41210087
SUPERMODEL,Mï¿½ï¿½ne,1,2022,5,13,2265,0,231657891
Stefania (Kalush Orchestra),KALUSH,1,2022,3,10,555,0,53729194
Thousand Miles,The Kid Laroi,1,2022,4,22,2050,0,244741137
Crown,Kendrick Lamar,1,2022,5,13,1493,0,42485571
Auntie Diaries,Kendrick Lamar,1,2022,5,13,1545,0,37778188
PUFFIN ON ZOOTIEZ,Future,1,2022,4,29,2350,0,254218729
Mirror,Kendrick Lamar,1,2022,5,13,1929,0,53603447
Beautiful Girl,Luciano,1,2022,4,22,710,4,160035717
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",2,2022,4,25,928,0,164163229
Savior - Interlude,Kendrick Lamar,1,2022,5,13,1194,0,37091576
Pasoori,"Shae Gill, Ali Sethi",2,2022,2,6,349,6,284249832
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,2022,5,13,1890,0,33381454
TUS Lï¿½ï¿½GR,"Sech, Mora",2,2022,4,1,1308,2,184622518
Where Did You Go?,"MNEK, Jax Jones",2,2022,1,26,4531,0,300983101
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,2022,5,6,1657,0,121077868
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,2022,4,29,1351,0,106919680
ZOOM,Jessi,1,2022,4,13,608,0,136996305
FEARLESS,LE SSERAFIM,1,2022,5,2,629,0,229497852
10 Things I Hate About You,Leah Kate,1,2022,3,23,1301,0,185550869
SPACE MAN,Sam Ryder,1,2022,2,22,1329,0,54682594
With you,"HA SUNG WOON, Jimin",2,2022,4,24,343,2,240580042
The Heart Part 5,Kendrick Lamar,1,2022,5,8,2939,0,71423324
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2022,5,6,1492,0,132171975
Yet To Come,BTS,1,2022,6,10,829,0,302006641
Run BTS,BTS,1,2022,6,10,736,0,330881149
Music For a Sushi Restaurant,Harry Styles,1,2022,5,20,4449,1,334733572
Matilda,Harry Styles,1,2022,5,20,3218,3,366214458
For Youth,BTS,1,2022,6,10,327,0,114546317
Daylight,Harry Styles,1,2022,5,20,2775,0,290833204
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,2022,5,6,4576,0,448500832
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,6,10,2313,0,136676504
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,2022,5,27,3983,0,190625045
Born Singer,BTS,1,2022,6,10,279,0,79095270
Little Freak,Harry Styles,1,2022,5,20,2302,0,273194684
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,2022,5,20,3559,3,333146475
True Love,"Kanye West, XXXTENTACION",2,2022,5,27,2129,0,194902696
Satellite,Harry Styles,1,2022,5,20,3291,5,311482393
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,2022,6,8,1401,0,248511839
Love Of My Life,Harry Styles,1,2022,5,20,1933,0,233671263
Grapejuice,Harry Styles,1,2022,5,20,1986,0,199587884
So Good,Halsey,1,2022,6,9,1057,0,91781263
Belly Dancer,"BYOR, Imanbek",2,2022,2,18,5115,13,383835984
Keep Driving,Harry Styles,1,2022,5,20,2094,1,236060709
Cinema,Harry Styles,1,2022,5,20,2171,0,189236868
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022,5,25,896,0,160845341
Hold My Hand,Lady Gaga,1,2022,5,3,2528,0,238350348
Daydreaming,Harry Styles,1,2022,5,20,1900,1,187703102
Numb,"Marshmello, Khalid",2,2022,6,10,3879,2,295307001
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,2022,6,2,896,0,138334433
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3,2022,3,18,5290,0,286739476
Antes de Perderte,Duki,1,2022,6,2,584,8,157136970
Boyfriends,Harry Styles,1,2022,5,20,1517,0,137070925
Tak Ingin Usai,Keisya Levronka,1,2022,5,13,220,4,184807630
En El Radio Un Cochinero,Victor Cibrian,1,2022,5,13,514,0,164856284
BREAK MY SOUL,Beyoncï¿,1,2022,6,21,9724,0,354614964
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,16,2341,0,279717388
Massive,Drake,1,2022,6,17,5263,0,195628667
Betty (Get Money),Yung Gravy,1,2022,6,10,2402,0,221752937
Ojos Marrones,Lasso,1,2022,2,6,795,11,263280370
POP!,Nayeon,1,2022,6,24,571,0,213505179
Layla,"Schï¿½ï¿½rze, DJ R",2,2022,3,24,832,3,130419412
MORE,j-hope,1,2022,7,1,565,0,155795783
Last Last,Burna Boy,1,2022,5,12,4526,12,293466523
SNAP,Rosa Linn,1,2022,3,19,1818,0,711366595
Sticky,Drake,1,2022,6,17,2814,0,191448892
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,2022,7,1,1601,0,85924992
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,6,3,894,4,176103902
La Loto,"Anitta, Tini, Becky G",3,2022,7,6,945,0,121189256
die first,Nessa Barrett,1,2022,6,24,767,0,131746175
Afraid To Feel,LF System,1,2022,5,2,5898,5,244790012
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,10,685,2,129314708
cï¿½ï¿½mo dormi,Rels B,1,2022,8,4,1452,35,331511413
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,2022,8,5,1456,0,219196651
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5,2107,0,170732845
Si Te La Encuentras Por Ahï¿,Feid,1,2022,8,5,1379,4,179061440
GIVENCHY,Duki,1,2022,7,20,625,4,185236961
ALIEN SUPERSTAR,Beyoncï¿,1,2022,7,29,2688,0,171788484
Attention,NewJeans,1,2022,8,1,799,12,264717480
THE SHADE,Rex Orange County,1,2022,3,11,1189,6,244928911
"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,7,12,367,0,97610446
El Rescate,"Grupo Marca Registrada, Junior H",2,2022,7,22,527,4,287278853
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,7,15,3113,0,123473120
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2,2022,8,15,685,5,295152154
JGL,"Luis R Conriquez, La Adictiva",2,2022,2,18,782,9,323455692
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2022,6,16,2442,0,240918092
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,20,1112,4,191873381
Forget Me,Lewis Capaldi,1,2022,9,9,2520,4,239411309
After LIKE,IVE,1,2022,8,22,767,12,265548837
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2,2022,6,15,5153,6,244585109
Talk that Talk,TWICE,1,2022,8,26,615,0,189476119
BILLIE EILISH.,Armani White,1,2022,1,20,2537,0,277132266
Ferxxo 100,Feid,1,2022,6,3,1647,30,278920007
KU LO SA - A COLORS SHOW,Oxlade,1,2022,6,10,2019,8,222410722
Prohibidox,Feid,1,2022,9,13,1473,12,185392587
Static,Steve Lacy,1,2022,7,15,1613,0,202452860
Talk,YEAT,1,2022,9,2,920,0,148461629
XQ Te Pones Asï¿,"Yandel, Feid",2,2022,9,13,308,0,47093942
Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2,2022,7,22,1097,2,209106362
Lady Mi Amor,Feid,1,2022,9,13,330,0,53987404
Poland,Lil Yachty,1,2022,6,23,1584,0,115331792
THE LONELIEST,Mï¿½ï¿½ne,1,2022,10,7,1585,5,225093344
Bye Bye,"Marshmello, Juice WRLD",2,2022,10,14,766,0,84697729
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,18,836,0,159240673
Nxde,(G)I-DLE,1,2022,10,17,430,6,170709584
2 Be Loved (Am I Ready),Lizzo,1,2022,7,14,3682,6,247689123
Celestial,Ed Sheeran,1,2022,9,29,1639,0,176474912
Typa Girl,BLACKPINK,1,2022,9,16,452,10,235549288
California Breeze,Lil Baby,1,2022,10,14,991,0,85559365
Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",3,2022,9,22,869,7,146223492
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,2022,7,1,648,4,187701588
Major Distribution,"Drake, 21 Savage",2,2022,11,4,1545,0,154863153
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,11,4,1930,0,191333656
Vigilante Shit,Taylor Swift,1,2022,10,21,1948,0,253650850
Question...?,Taylor Swift,1,2022,10,21,1608,0,223064273
On BS,"Drake, 21 Savage",2,2022,11,4,1338,0,170413877
Mastermind,Taylor Swift,1,2022,10,21,1936,0,218320587
Circo Loco,"Drake, 21 Savage",2,2022,11,4,1794,0,141720999
Labyrinth,Taylor Swift,1,2022,10,21,1597,0,187339835
Spin Bout U,"Drake, 21 Savage",2,2022,11,4,1652,2,198365537
Sweet Nothing,Taylor Swift,1,2022,10,21,1747,0,186104310
"Would've, Could've, Should've",Taylor Swift,1,2022,10,21,1715,0,177503916
Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,486,0,71095708
Privileged Rappers,"Drake, 21 Savage",2,2022,11,4,1007,0,112436403
The Astronaut,Jin,1,2022,10,28,481,9,203436468
BackOutsideBoyz,Drake,1,2022,11,4,1045,0,93367537
Broke Boys,"Drake, 21 Savage",2,2022,11,4,1060,0,106249219
The Great War,Taylor Swift,1,2022,10,21,1274,0,181382590
My Mind & Me,Selena Gomez,1,2022,11,3,953,0,91473363
Bigger Than The Whole Sky,Taylor Swift,1,2022,10,21,1180,0,121871870
A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,3,573,0,73513683
En La De Ella,"Feid, Sech, Jhayco",3,2022,10,20,1320,0,133895612
Alone,Burna Boy,1,2022,11,4,782,2,96007391
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922
Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900
Por las Noches,Peso Pluma,1,2021,6,11,457,24,330346424
Ghost,Justin Bieber,1,2021,3,19,5866,24,1167330737
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,4,9,2619,12,350381515
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294
The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686
Shivers,Ed Sheeran,1,2021,9,9,10147,30,1302184087
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649
La Bebe,Yng Lvcas,1,2021,12,24,489,17,191945597
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,3,6180,7,1223481149
My Universe,"Coldplay, BTS",2,2021,9,24,6127,13,1061966512
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,2021,7,23,13315,0,1814349763
Yonaguni,Bad Bunny,1,2021,6,4,9644,28,1260594497
Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,7,30,10565,44,972509632
Woman,Doja Cat,1,2021,6,25,9424,0,1329090101
I Hate U,SZA,1,2021,12,3,4094,0,356709897
Desesperados,"Chencho Corleone, Rauw Alejandro",2,2021,6,25,6821,34,809306935
ýýýabcdefu,Gayle,1,2021,8,13,7215,0,1007612429
Do It To It,"Cherish, ACRAZE",2,2021,8,20,12403,0,674772936
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",7,2021,11,19,2785,0,432719968
Pepas,Farruko,1,2021,6,24,14114,17,1309887447
Take My Breath,The Weeknd,1,2021,8,6,2597,0,130655803
good 4 u,Olivia Rodrigo,1,2021,5,14,15563,6,1887039593
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,9,15867,0,1575467011
Need To Know,Doja Cat,1,2021,6,11,6672,0,1042568408
Surface Pressure,Jessica Darrow,1,2021,11,19,1756,0,267758538
THATS WHAT I WANT,Lil Nas X,1,2021,9,17,7963,0,920797189
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,2021,11,5,4771,0,539595276
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,10,5,3423,26,775542072
MONEY,Lisa,1,2021,9,10,2566,13,863625566
The Motto,"Tiï¿½ï¿½sto, Ava",2,2021,11,4,9151,6,656013912
Happier Than Ever,Billie Eilish,1,2021,7,30,8476,0,1056760045
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2,2021,10,22,7495,17,611994237
traitor,"Juan Cruz Toledo, Huilen Toledo",2,2021,5,21,5257,6,1230855859
Toxic,BoyWithUke,1,2021,9,10,1795,0,582981380
drivers license,Olivia Rodrigo,1,2021,1,8,12685,3,1858144199
Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",3,2021,11,30,648,1,240684449
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,11,12,4635,5,583687007
Oh My God,Adele,1,2021,11,19,4431,0,466214729
I AM WOMAN,Emmy Meli,1,2021,11,18,2795,0,225259194
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",3,2021,10,27,2780,2,393230256
It'll Be Okay,Shawn Mendes,1,2021,12,1,1950,0,287201015
Super Gremlin,Kodak Black,1,2021,10,30,2551,0,342779426
Volvï¿,"Aventura, Bad Bunny",2,2021,8,3,5375,10,673801126
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,4963,0,383550148
Tacones Rojos,Sebastian Yatra,1,2021,10,22,3047,9,510876816
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,2021,3,19,14140,0,1445941661
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29,1678,12,374191487
Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,9,8,2780,2,436695353
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,2021,9,24,4091,0,421040617
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,3643,0,354065229
Butter,BTS,1,2021,5,21,4779,6,1143647827
You Right,"Doja Cat, The Weeknd",2,2021,6,24,5073,0,672656250
deja vu,Olivia Rodrigo,1,2021,4,1,7545,4,1256880657
TO THE MOON,Jnr Choi,1,2021,11,5,2979,0,245095641
Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,1057,0,261414174
Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,3272,19,610045621
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,14417,0,1115880852
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,5199,0,594482982
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2,2021,8,1,6026,0,566954746
LA FAMA (with The Weeknd),"The Weeknd, ROSALï¿½",2,2021,11,11,4640,3,374706940
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19,1150,0,184937148
Dos Oruguitas,Sebastian Yatra,1,2021,11,19,925,0,167076418
Acapulco,Jason Derulo,1,2021,9,1,3098,0,363467642
ELEVEN,IVE,1,2021,12,1,521,1,247737946
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,19,802,0,154797871
DANCE CRIP,Trueno,1,2021,11,17,731,0,198883004
happier,Olivia Rodrigo,1,2021,5,21,3069,4,850608354
Praise God,Kanye West,1,2021,8,29,4651,0,376333030
Get Into It (Yuh),Doja Cat,1,2021,6,25,4999,0,516784627
Sobrio,Maluma,1,2021,7,8,3506,10,513643924
Peru,"Ed Sheeran, Fireboy DML",2,2021,12,23,2999,0,261286503
favorite crime,Olivia Rodrigo,1,2021,5,21,3681,0,783706581
Thunder,"Prezioso, Gabry Ponte, LUM!X",3,2021,5,7,4846,10,422691058
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,1,2021,3,19,4873,0,851070493
Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2,2021,10,22,772,0,263894529
The Feels,TWICE,1,2021,10,1,1150,0,345903614
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,2021,8,13,6890,0,427486004
2055,Sleepy hallow,1,2021,4,14,2226,0,624515457
Happier Than Ever - Edit,Billie Eilish,1,2021,7,28,1959,0,412795151
Ley Seca,"Anuel Aa, Jhay Cortez",2,2021,9,2,2012,0,355219175
Every Summertime,NIKI,1,2021,8,10,1211,2,290228626
Take My Breath,The Weeknd,1,2021,8,6,6392,0,432702334
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",3,2021,9,3,5481,0,489945871
Cï¿½ï¿½,Rauw Alejandro,1,2021,6,25,2636,3,465959382
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,2021,10,27,824,0,1223481149
Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",2,2021,1,28,8087,0,720825549
Fair Trade (with Travis Scott),"Drake, Travis Scott",2,2021,9,3,5403,6,593917618
Bar,"Tini, L-Gante",2,2021,11,11,755,4,200972675
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,2021,8,27,6308,5,560222750
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,2021,6,24,6556,0,528544703
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,2021,4,28,4893,4,651732901
